time,open,high,low,close
1701261600.0,1.09789,1.09808,1.09788,1.09805
1701261900.0,1.09805,1.0982,1.09804,1.09811
1701262200.0,1.09812,1.09818,1.09785,1.09799
1701262500.0,1.09799,1.09844,1.09796,1.09842
1701262800.0,1.09842,1.09856,1.09808,1.09817
1701263100.0,1.09817,1.09843,1.09789,1.09793
1701263400.0,1.09793,1.09843,1.09786,1.09838
1701263700.0,1.09838,1.09877,1.09835,1.09861
1701264000.0,1.09861,1.0988,1.09844,1.09855
1701264300.0,1.09855,1.09873,1.09822,1.09827
1701264600.0,1.09824,1.09851,1.09813,1.09832
1701264900.0,1.09832,1.09854,1.09823,1.09839
1701265200.0,1.09839,1.09852,1.09813,1.09846
1701265500.0,1.09848,1.09856,1.09801,1.09831
1701265800.0,1.09831,1.09876,1.09825,1.09874
1701266100.0,1.0987,1.0987,1.09811,1.09845
1701266400.0,1.09846,1.09856,1.09813,1.09825
1701266700.0,1.09825,1.09875,1.09812,1.09846
1701267000.0,1.09837,1.09863,1.09815,1.09828
1701267300.0,1.09829,1.09843,1.09789,1.09802
1701267600.0,1.09817,1.0985,1.09807,1.09839
1701267900.0,1.09839,1.09863,1.09815,1.09844
1701268200.0,1.09843,1.0994,1.09767,1.09826
1701268500.0,1.09828,1.09845,1.09733,1.09747
1701268800.0,1.09746,1.09763,1.09712,1.09751
1701269100.0,1.09752,1.09772,1.09733,1.09753
1701269400.0,1.09755,1.0977,1.0973,1.09734
1701269700.0,1.09736,1.0979,1.09719,1.09722
1701270000.0,1.09724,1.09741,1.09647,1.09734
1701270300.0,1.09731,1.09773,1.09723,1.09741
1701270600.0,1.0974,1.09753,1.09678,1.09684
1701270900.0,1.09683,1.09694,1.09614,1.09672
1701271200.0,1.09671,1.09775,1.09667,1.09774
1701271500.0,1.09773,1.09807,1.09771,1.09796
1701271800.0,1.09797,1.09841,1.09797,1.0982
1701272100.0,1.09819,1.09899,1.09809,1.09861
1701272400.0,1.09861,1.09872,1.09803,1.09817
1701272700.0,1.09816,1.09839,1.098,1.09804
1701273000.0,1.09804,1.09819,1.09767,1.09792
1701273300.0,1.09792,1.09813,1.0976,1.09763
1701273600.0,1.09763,1.099,1.09762,1.09899
1701273900.0,1.09899,1.09899,1.09718,1.09726
1701274200.0,1.09715,1.09732,1.09653,1.09731
1701275400.0,1.09677,1.09679,1.09596,1.09603
1701275700.0,1.09605,1.09644,1.09598,1.0964
1701276000.0,1.09642,1.09651,1.0961,1.09633
